Question,Method,Type,Percent,Iter,RMSE,Mean Percent Bias,Accuracy,Precision,Recall,F1 score,Matthews Correlation
Q_2265,knn,MAR,10,0,,,,,,,
Q_2300,knn,MAR,10,0,0.46499055497527714,10.81081081081081,0.7837837837837838,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.5064199161379136
Q_2322,knn,MAR,10,0,0.674199862463242,3.0303030303030303,0.5454545454545454,0.42857142857142855,0.46153846153846156,0.4444444444444444,0.06084046019137625
Q_2347,knn,MAR,10,0,0.3922322702763681,15.384615384615385,0.8461538461538461,0.8461538461538461,1.0,0.9166666666666666,0.0
Q_2841,knn,MAR,10,0,,,,,,,
Q_2868,knn,MAR,10,0,0.15617376188860607,2.4390243902439024,0.975609756097561,0.975609756097561,1.0,0.9876543209876543,0.0
Q_2876,knn,MAR,10,0,,,,,,,
Q_2890,knn,MAR,10,0,0.20851441405707477,4.3478260869565215,0.9565217391304348,0.9565217391304348,1.0,0.9777777777777777,0.0
Q_2919,knn,MAR,10,0,0.4131969352706687,17.073170731707318,0.8292682926829268,0.825,1.0,0.9041095890410958,0.3211308144666282
Q_3089,knn,MAR,10,0,0.0,0.0,1.0,,,,
Q_3144,knn,MAR,10,0,0.3244428422615251,10.526315789473683,0.8947368421052632,0.0,0.0,0.0,0.0
Q_3145,knn,MAR,10,0,0.7288689868556626,21.875,0.46875,0.6428571428571429,0.42857142857142855,0.5142857142857142,-0.02486823656509969
Q_3153,knn,MAR,10,0,0.3492151478847891,7.317073170731707,0.8780487804878049,0.0,0.0,0.0,-0.05198752449100364
Q_3166,knn,MAR,10,0,0.4385290096535146,19.230769230769234,0.8076923076923077,1.0,0.16666666666666666,0.2857142857142857,0.3651483716701107
Q_3169,knn,MAR,10,0,0.43133109281375365,13.953488372093023,0.813953488372093,0.75,0.3,0.42857142857142855,0.39225703163305925
Q_2265,knn,MAR,10,1,0.6647258571142536,20.930232558139537,0.5581395348837209,0.5483870967741935,0.7727272727272727,0.6415094339622641,0.118196229414343
Q_2300,knn,MAR,10,1,0.5848976518656018,7.894736842105263,0.6578947368421053,0.7222222222222222,0.6190476190476191,0.6666666666666666,0.3235732647188796
Q_2322,knn,MAR,10,1,0.6819943394704735,9.30232558139535,0.5348837209302325,0.4782608695652174,0.5789473684210527,0.5238095238095238,0.07860336953666276
Q_2347,knn,MAR,10,1,,,,,,,
Q_2841,knn,MAR,10,1,0.5,13.88888888888889,0.75,0.7878787878787878,0.9285714285714286,0.8524590163934426,0.08058229640253803
Q_2868,knn,MAR,10,1,0.23570226039551584,5.555555555555555,0.9444444444444444,0.9444444444444444,1.0,0.9714285714285714,0.0
Q_2876,knn,MAR,10,1,0.6236095644623235,5.555555555555555,0.6111111111111112,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.16116459280507606
Q_2890,knn,MAR,10,1,0.4225771273642583,17.857142857142858,0.8214285714285714,0.8214285714285714,1.0,0.9019607843137255,0.0
Q_2919,knn,MAR,10,1,0.28867513459481287,8.333333333333332,0.9166666666666666,0.9166666666666666,1.0,0.9565217391304348,0.0
Q_3089,knn,MAR,10,1,0.1643989873053573,2.7027027027027026,0.972972972972973,0.0,0.0,0.0,0.0
Q_3144,knn,MAR,10,1,0.46499055497527714,10.81081081081081,0.7837837837837838,0.0,0.0,0.0,-0.10516609640992378
Q_3145,knn,MAR,10,1,,,,,,,
Q_3153,knn,MAR,10,1,0.2672612419124244,7.142857142857142,0.9285714285714286,0.0,0.0,0.0,0.0
Q_3166,knn,MAR,10,1,,,,,,,
Q_3169,knn,MAR,10,1,0.4685212856658182,12.195121951219512,0.7804878048780488,0.5,0.2222222222222222,0.3076923076923077,0.22280797425898696
Q_2265,knn,MAR,10,2,0.7161148740394329,30.76923076923077,0.48717948717948717,0.42857142857142855,0.75,0.5454545454545454,0.05940605706521968
Q_2300,knn,MAR,10,2,0.5,0.0,0.75,0.75,0.75,0.75,0.5
Q_2322,knn,MAR,10,2,,,,,,,
Q_2347,knn,MAR,10,2,0.3651483716701107,8.88888888888889,0.8666666666666667,0.8863636363636364,0.975,0.9285714285714286,-0.053300179088902604
Q_2841,knn,MAR,10,2,,,,,,,
Q_2868,knn,MAR,10,2,0.2847473987257497,8.108108108108109,0.918918918918919,0.918918918918919,1.0,0.9577464788732394,0.0
Q_2876,knn,MAR,10,2,0.5976143046671968,30.952380952380953,0.6428571428571429,0.9473684210526315,0.5625,0.7058823529411765,0.39577285860251626
Q_2890,knn,MAR,10,2,0.2721655269759087,0.0,0.9259259259259259,0.96,0.96,0.96,0.46
Q_2919,knn,MAR,10,2,0.5863019699779287,15.625,0.65625,0.7241379310344828,0.875,0.7924528301886793,-0.1856953381770519
Q_3089,knn,MAR,10,2,0.2208630521496931,4.878048780487805,0.9512195121951219,0.0,0.0,0.0,0.0
Q_3144,knn,MAR,10,2,0.4743416490252569,17.5,0.775,0.0,0.0,0.0,-0.08006407690254357
Q_3145,knn,MAR,10,2,0.5843487097907776,24.390243902439025,0.6585365853658537,0.8571428571428571,0.5,0.631578947368421,0.3972360153788916
Q_3153,knn,MAR,10,2,0.408248290463863,7.142857142857142,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.15097027121927944
Q_3166,knn,MAR,10,2,,,,,,,
Q_3169,knn,MAR,10,2,0.3779644730092272,7.142857142857142,0.8571428571428571,0.75,0.5,0.6,0.5330017908890261
Q_2265,knn,MAR,10,3,,,,,,,
Q_2300,knn,MAR,10,3,0.6324555320336759,20.0,0.6,0.6666666666666666,0.4,0.5,0.2182178902359924
Q_2322,knn,MAR,10,3,,,,,,,
Q_2347,knn,MAR,10,3,0.3713906763541037,13.793103448275861,0.8620689655172413,0.8571428571428571,1.0,0.9230769230769231,0.41403933560541256
Q_2841,knn,MAR,10,3,0.4948716593053935,16.3265306122449,0.7551020408163265,0.782608695652174,0.9473684210526315,0.8571428571428571,0.0666181086594263
Q_2868,knn,MAR,10,3,0.16666666666666666,2.7777777777777777,0.9722222222222222,0.9722222222222222,1.0,0.9859154929577465,0.0
Q_2876,knn,MAR,10,3,0.5619514869490163,21.052631578947366,0.6842105263157895,0.9130434782608695,0.6774193548387096,0.7777777777777778,0.31065583209745545
Q_2890,knn,MAR,10,3,0.408248290463863,16.666666666666664,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,0.0
Q_2919,knn,MAR,10,3,0.3535533905932738,7.5,0.875,0.8974358974358975,0.9722222222222222,0.9333333333333333,-0.05337605126836238
Q_3089,knn,MAR,10,3,0.0,0.0,1.0,,,,
Q_3144,knn,MAR,10,3,,,,,,,
Q_3145,knn,MAR,10,3,0.6831300510639732,13.333333333333334,0.5333333333333333,0.5833333333333334,0.4375,0.5,0.08183170883849714
