entry_id,year_from,year_to,region_africa,region_central_eurasia,region_east_asia,region_europe,region_north_america,region_oceania_australia,region_south_america,region_south_asia,region_southeast_asia,region_southwest_asia,region_id,entrytag_9,entrytag_14,entrytag_18,entrytag_24,entrytag_38,entrytag_123,entrytag_508,entrytag_510,entrytag_905,entrytag_14828,Q_2238,Q_2252,Q_2253,Q_2254,Q_2256,Q_2265,Q_2271,Q_2283,Q_2300,Q_2305,Q_2316,Q_2322,Q_2324,Q_2347,Q_2349,Q_2351,Q_2374,Q_2375,Q_2841,Q_2842,Q_2862,Q_2868,Q_2876,Q_2890,Q_2893,Q_2900,Q_2908,Q_2914,Q_2919,Q_2928,Q_2929,Q_2944,Q_2945,Q_2948,Q_2958,Q_2964,Q_2967,Q_2968,Q_3016,Q_3022,Q_3028,Q_3063,Q_3074,Q_3085,Q_3088,Q_3089,Q_3093,Q_3095,Q_3098,Q_3100,Q_3107,Q_3108,Q_3109,Q_3113,Q_3115,Q_3116,Q_3117,Q_3120,Q_3121,Q_3122,Q_3127,Q_3128,Q_3129,Q_3130,Q_3132,Q_3133,Q_3134,Q_3135,Q_3138,Q_3139,Q_3140,Q_3144,Q_3145,Q_3147,Q_3148,Q_3149,Q_3151,Q_3153,Q_3154,Q_3156,Q_3157,Q_3158,Q_3162,Q_3163,Q_3164,Q_3165,Q_3166,Q_3167,Q_3168,Q_3169,Q_3173,Q_3174,Q_3175,Q_3177,Q_3178,Q_3179,Q_3233,Q_3420,Q_3437,Q_3440
173,90,120,0,0,0,0,0,0,0,0,0,1,483,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,,0.0,,,,0.0,1.0,0.0,,1.0,,,,,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,,0.0,1.0,,,0.0,1.0,1.0,0.0,,,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,0.0
174,50,160,0,0,0,0,0,0,0,0,0,1,352,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
176,-150,68,0,0,0,0,0,0,0,0,0,1,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,0.0,,,1.0,1.0,0.0,0.0,0.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
182,48,56,0,0,0,1,0,0,0,0,0,0,489,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,,0.0,,0.0,0.0,,1.0,0.0,,1.0,1.0,,1.0,1.0,0.0,,0.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,0.0,,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0
184,386,534,0,0,1,0,0,0,0,0,0,0,7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,0.0,,,1.0,,,0.0,,,,,0.0,1.0,,,,,0.0,1.0,0.0,,0.0,0.0,,1.0,,,0.0,0.0,0.0,,0.0,,,,0.0,1.0,1.0,1.0,1.0
190,1948,2015,0,0,0,0,0,0,0,1,0,0,488,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,0.0,,1.0,0.0,1.0,,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
195,500,1100,0,0,0,0,0,0,0,1,0,0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,0.0,,,,,,,,,1.0,,,,,,1.0,,1.0,,0.0,,,0.0,,,0.0,,,,,0.0,1.0,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,1.0,1.0,1.0,1.0
196,45,60,0,0,0,1,0,0,0,0,0,0,479,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,,1.0,,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
200,1650,1850,0,0,0,0,0,0,0,1,0,0,96,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,,,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0
201,-500,500,0,0,0,1,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,
