question_id,parent_question_id,question_level
2259,2231,4
2309,2231,4
2310,2231,4
2313,2231,4
2231,2234,3
2235,2234,3
2275,2234,3
2321,2234,3
2242,2247,3
2258,2247,3
2285,2247,3
2304,2247,3
2337,2247,3
2353,2247,3
2272,2250,3
2286,2250,3
2234,2252,2
2237,2254,3
2239,2254,3
2287,2254,3
2295,2254,3
2312,2254,3
2314,2254,3
2246,2263,2
2233,2265,2
2240,2265,2
2276,2265,2
2303,2265,2
2306,2265,2
2365,2265,2
2248,2275,4
2297,2275,4
2318,2275,4
2363,2275,4
2307,2283,2
2326,2283,2
2249,2300,2
2255,2300,2
2261,2300,2
2319,2300,2
2323,2300,2
2325,2300,2
2339,2300,2
2244,2307,3
2251,2307,3
2270,2307,3
2288,2307,3
2311,2307,3
2315,2307,3
2328,2307,3
2341,2307,3
2357,2307,3
2238,2316,2
2256,2316,2
2271,2316,2
2277,2316,2
2305,2316,2
2274,2322,2
2278,2322,2
2279,2322,2
2302,2322,2
2308,2322,2
2320,2322,2
2327,2322,2
2268,2324,2
2291,2335,3
2372,2335,3
2253,2347,2
2254,2347,2
2266,2347,2
2290,2347,2
2317,2347,2
2335,2347,2
2375,2347,2
2262,2349,2
2267,2349,2
2284,2349,2
2294,2349,2
2299,2349,2
2355,2349,2
3084,2349,2
2247,2351,2
2282,2351,2
2359,2351,2
2368,2351,2
2378,2351,2
2241,2359,3
2273,2359,3
2280,2359,3
2264,2368,3
2292,2368,3
2293,2368,3
2296,2368,3
2343,2368,3
2345,2368,3
2232,2374,2
2250,2374,2
2269,2374,2
2298,2374,2
2332,2374,2
2236,2378,3
2243,2378,3
2245,2378,3
2257,2378,3
2260,2378,3
2289,2378,3
2370,2378,3
2843,2841,2
2850,2841,2
2950,2841,2
2961,2841,2
2967,2841,2
2845,2842,3
2867,2842,3
2935,2842,3
2936,2842,3
2852,2862,2
2860,2862,2
2864,2862,2
2870,2862,2
2873,2862,2
2956,2862,2
2853,2863,4
2877,2863,4
2904,2868,2
2908,2868,2
2954,2868,2
2884,2876,2
2889,2876,2
2901,2876,2
2912,2876,2
2915,2876,2
2922,2876,2
2933,2876,2
2946,2876,2
2981,2876,2
2847,2889,3
2855,2889,3
2880,2889,3
2959,2889,3
2861,2890,2
2883,2890,2
2887,2890,2
2892,2890,2
2898,2890,2
2902,2890,2
2911,2890,2
2917,2890,2
2921,2890,2
2923,2890,2
2928,2890,2
2930,2890,2
2939,2890,2
2942,2890,2
2962,2890,2
2970,2890,2
2972,2890,2
2974,2890,2
2978,2890,2
2982,2890,2
2985,2890,2
2842,2893,2
2919,2893,2
2943,2893,2
2945,2893,2
2968,2893,2
2914,2900,2
2856,2914,3
2916,2914,3
2940,2914,3
2949,2914,3
2975,2914,3
2899,2919,3
2910,2919,3
2941,2919,3
2944,2919,3
2948,2919,3
2953,2919,3
2958,2919,3
2984,2919,3
3192,2919,3
3218,2919,3
3229,2919,3
3233,2919,3
3247,2919,3
3283,2919,3
3288,2919,3
3292,2919,3
3296,2919,3
3328,2919,3
2879,2924,4
2886,2924,4
2903,2924,4
2905,2924,4
2947,2924,4
2963,2924,4
3182,2924,4
2851,2929,2
2885,2929,2
2955,2929,2
3209,2943,3
3234,2943,3
3251,2943,3
3258,2943,3
3270,2943,3
3273,2943,3
3274,2943,3
3276,2943,3
3307,2943,3
3336,2943,3
2878,2945,3
2906,2945,3
2907,2945,3
2931,2945,3
2960,2945,3
2971,2945,3
2980,2945,3
2983,2945,3
3327,2945,3
2857,2951,3
2966,2951,3
2977,2951,3
2881,2955,3
2925,2955,3
2957,2955,3
2858,2960,4
2859,2960,4
2927,2964,2
2951,2964,2
2848,2968,3
2854,2968,3
2863,2968,3
2895,2968,3
2897,2968,3
2909,2968,3
2920,2968,3
2924,2968,3
2938,2968,3
2965,2968,3
3181,2968,3
2872,2970,3
2918,2970,3
2973,2970,3
2979,2970,3
2849,2978,3
2871,2978,3
2952,2978,3
2987,2986,3
2989,2986,3
3002,2986,3
3011,2986,3
3013,2986,3
3007,2988,3
3014,2988,3
3015,2988,3
2991,2996,3
2993,2996,3
2994,2996,3
2999,2996,3
3005,2996,3
3008,2996,3
3009,2996,3
2986,3006,2
2990,3006,2
2992,3006,2
2995,3006,2
2997,3006,2
2998,3006,2
3000,3006,2
3001,3006,2
3003,3006,2
3004,3006,2
3010,3006,2
3012,3006,2
2988,3016,2
2996,3016,2
3017,3021,3
3019,3021,3
3020,3021,3
3024,3021,3
3025,3021,3
3027,3021,3
3018,3022,2
3021,3022,2
3023,3022,2
3342,3026,2
3343,3026,2
3344,3026,2
3345,3026,2
3346,3026,2
3347,3026,2
3348,3026,2
3349,3026,2
3350,3026,2
3351,3026,2
3352,3026,2
3353,3026,2
3354,3026,2
3355,3026,2
3356,3026,2
3357,3026,2
3358,3026,2
3359,3026,2
3360,3026,2
3361,3026,2
3362,3026,2
3363,3026,2
3364,3026,2
3365,3026,2
3366,3026,2
3367,3026,2
3368,3026,2
3369,3026,2
3370,3026,2
3371,3026,2
3372,3026,2
3373,3026,2
3029,3063,2
3036,3063,2
3043,3063,2
3059,3063,2
3068,3063,2
3071,3063,2
3076,3063,2
3082,3063,2
3045,3074,2
3055,3074,2
3072,3074,2
3087,3089,2
3096,3089,2
3103,3089,2
3118,3089,2
3101,3093,2
3086,3108,2
3090,3108,2
3091,3108,2
3104,3108,2
3111,3108,2
3123,3108,2
3102,3113,2
3112,3113,2
3114,3113,2
3119,3113,2
3094,3115,2
3106,3115,2
3110,3115,2
3092,3121,2
3099,3121,2
3105,3121,2
3124,3121,2
3172,3128,2
3125,3129,2
3141,3129,2
3146,3129,2
3152,3129,2
3171,3129,2
3136,3145,2
3137,3148,2
3161,3148,2
3142,3149,2
3155,3149,2
3159,3149,2
3150,3151,2
3131,3165,2
3143,3165,2
3160,3165,2
3170,3165,2
3176,3165,2
3126,3166,2
3180,3181,4
3183,3181,4
3184,3181,4
3185,3181,4
3186,3181,4
3187,3181,4
3188,3181,4
3189,3181,4
3190,3181,4
3191,3181,4
3193,3233,4
3204,3233,4
3215,3233,4
3224,3233,4
3225,3233,4
3228,3233,4
3248,3233,4
3256,3233,4
3263,3233,4
3200,3234,4
3212,3234,4
3222,3234,4
3227,3234,4
3231,3234,4
3243,3234,4
3244,3234,4
3246,3234,4
3254,3234,4
3255,3234,4
3230,3247,4
3237,3247,4
3271,3270,4
3282,3270,4
3286,3270,4
3295,3270,4
3311,3270,4
3317,3270,4
3332,3270,4
3277,3296,4
3278,3296,4
3280,3296,4
3301,3296,4
3310,3296,4
3313,3296,4
3334,3296,4
3269,3307,4
3291,3307,4
3281,3327,4
3285,3327,4
3289,3327,4
3294,3327,4
3316,3327,4
3325,3327,4
3335,3327,4
3337,3327,4
3339,3327,4
3341,3327,4
3440,3420,2
3444,3420,2
3480,3420,2
3485,3420,2
3416,3434,3
3419,3434,3
3422,3434,3
3423,3434,3
3426,3434,3
3428,3434,3
3430,3434,3
3431,3434,3
3435,3434,3
3447,3434,3
3448,3434,3
3455,3434,3
3491,3434,3
3434,3437,2
3450,3437,2
3469,3437,2
3417,3440,3
3421,3440,3
3424,3440,3
3425,3440,3
3438,3440,3
3442,3440,3
3443,3440,3
3445,3440,3
3446,3440,3
3451,3440,3
3454,3440,3
3489,3440,3
3415,3444,3
3427,3444,3
3429,3444,3
3449,3444,3
3453,3444,3
3488,3444,3
3418,3450,3
3433,3450,3
3436,3450,3
3439,3450,3
3441,3450,3
3452,3450,3
3490,3450,3
3466,3469,3
3467,3469,3
3468,3469,3
3470,3469,3
3471,3469,3
3472,3469,3
3473,3469,3
3477,3480,3
3478,3480,3
3479,3480,3
3481,3480,3
3482,3485,3
3483,3485,3
3484,3485,3
3486,3485,3
3487,3485,3
2252,0,1
2263,0,1
2265,0,1
2281,0,1
2283,0,1
2300,0,1
2301,0,1
2316,0,1
2322,0,1
2324,0,1
2330,0,1
2347,0,1
2349,0,1
2351,0,1
2361,0,1
2374,0,1
2841,0,1
2862,0,1
2868,0,1
2876,0,1
2890,0,1
2893,0,1
2900,0,1
2929,0,1
2964,0,1
3006,0,1
3016,0,1
3022,0,1
3026,0,1
3028,0,1
3063,0,1
3074,0,1
3085,0,1
3088,0,1
3089,0,1
3093,0,1
3095,0,1
3098,0,1
3100,0,1
3107,0,1
3108,0,1
3109,0,1
3113,0,1
3115,0,1
3116,0,1
3117,0,1
3120,0,1
3121,0,1
3122,0,1
3127,0,1
3128,0,1
3129,0,1
3130,0,1
3132,0,1
3133,0,1
3134,0,1
3135,0,1
3138,0,1
3139,0,1
3140,0,1
3144,0,1
3145,0,1
3147,0,1
3148,0,1
3149,0,1
3151,0,1
3153,0,1
3154,0,1
3156,0,1
3157,0,1
3158,0,1
3162,0,1
3163,0,1
3164,0,1
3165,0,1
3166,0,1
3167,0,1
3168,0,1
3169,0,1
3173,0,1
3174,0,1
3175,0,1
3177,0,1
3178,0,1
3179,0,1
3420,0,1
3437,0,1
3475,0,1
3476,0,1
3492,0,1
