entry_id,entrytag_123,entrytag_14,entrytag_14828,entrytag_18,entrytag_24,entrytag_38,entrytag_508,entrytag_510,entrytag_9,entrytag_905,region_africa,region_central_eurasia,region_east_asia,region_europe,region_north_america,region_oceania_australia,region_south_america,region_south_asia,region_southeast_asia,region_southwest_asia,year_from,year_to,Q_2265,Q_2300,Q_2322,Q_2347,Q_2841,Q_2862,Q_2876,Q_2890,Q_2919,Q_3144,Q_3145,Q_3153,Q_3166,Q_3169,Q_3420
174,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,160,,0.0,,1.0,1.0,0.0,,,,0.0,0.0,,0.0,0.0,1.0
190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1948,2015,,1.0,,1.0,,1.0,,,1.0,,0.0,,1.0,,1.0
200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1650,1850,1.0,1.0,,1.0,0.0,1.0,1.0,,,1.0,,1.0,0.0,,1.0
211,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1350,-1320,1.0,1.0,,1.0,1.0,0.0,1.0,,,,1.0,,1.0,1.0,1.0
217,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-202,-44,,1.0,,0.0,,0.0,,1.0,0.0,,1.0,,0.0,,1.0
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3300,-539,1.0,1.0,,0.0,,0.0,,1.0,1.0,1.0,1.0,,,,1.0
231,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-600,-202,1.0,1.0,,0.0,,0.0,,1.0,0.0,,1.0,,0.0,0.0,1.0
263,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2000,2015,1.0,1.0,,1.0,1.0,,0.0,1.0,,,,0.0,,,0.0
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-3500,2015,0.0,0.0,0.0,1.0,,,1.0,,,0.0,1.0,0.0,,0.0,1.0
294,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,200,600,,1.0,0.0,1.0,,,,0.0,,,,0.0,,,0.0
381,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1469,1606,,0.0,,1.0,0.0,,,,1.0,0.0,1.0,0.0,,,1.0
383,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1200,1700,,0.0,1.0,1.0,0.0,,0.0,1.0,,0.0,,0.0,,1.0,0.0
390,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1610,2016,1.0,1.0,,1.0,,,1.0,,1.0,0.0,0.0,0.0,,,1.0
392,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1606,1708,,0.0,0.0,1.0,,1.0,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0
395,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1966,2016,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,0.0,,,1.0
400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1980,2015,,0.0,,1.0,,0.0,1.0,1.0,,0.0,,,,1.0,1.0
415,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1970,2015,,1.0,1.0,1.0,,,,,0.0,,1.0,0.0,0.0,,1.0
416,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1800,1918,,1.0,1.0,1.0,,0.0,,1.0,,,,0.0,0.0,,1.0
419,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1970,2016,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,,,0.0,0.0,1.0
420,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1800,2017,,0.0,1.0,1.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,,1.0
442,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,311,427,,0.0,,1.0,1.0,0.0,1.0,,1.0,1.0,,,0.0,,1.0
455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1292,1558,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,,0.0,1.0,,1.0
472,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1110,2017,,0.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0
476,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1000,2015,1.0,1.0,,1.0,,0.0,,1.0,1.0,0.0,,0.0,,,1.0
478,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-450,1,1.0,1.0,,1.0,1.0,1.0,,1.0,,0.0,,0.0,,,1.0
483,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,2016,1.0,0.0,0.0,1.0,1.0,,1.0,,,,0.0,0.0,,0.0,1.0
484,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,2016,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,0.0,0.0,,,,1.0
486,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1830,1951,,0.0,1.0,1.0,1.0,,1.0,1.0,,0.0,,0.0,,0.0,0.0
492,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-800,380,0.0,1.0,,0.0,,0.0,,1.0,1.0,,0.0,,0.0,0.0,1.0
520,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1600,2015,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,1.0
525,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1951,2018,,0.0,1.0,1.0,1.0,,1.0,1.0,,,0.0,0.0,,,0.0
526,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1900,2018,,0.0,0.0,1.0,1.0,,0.0,,,,1.0,,,,1.0
534,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-42,518,,1.0,1.0,0.0,,0.0,1.0,1.0,,,,0.0,1.0,1.0,1.0
563,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1845,2018,,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,,0.0,,1.0
564,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1950,2018,,0.0,0.0,1.0,,,0.0,,1.0,0.0,,0.0,,0.0,1.0
570,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1986,2018,,0.0,0.0,1.0,0.0,,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0
576,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1000,2018,0.0,0.0,,0.0,1.0,,,1.0,0.0,0.0,1.0,,,0.0,1.0
586,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1900,2017,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.0,,1.0,,0.0,0.0,1.0
589,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1915,1945,,0.0,0.0,0.0,1.0,,,0.0,1.0,,,,,0.0,1.0
607,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-400,-200,,0.0,0.0,0.0,,,,1.0,,0.0,0.0,,,0.0,1.0
614,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1925,1960,0.0,0.0,,0.0,1.0,,1.0,,,,,,0.0,0.0,1.0
627,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1905,1935,,1.0,,0.0,1.0,0.0,1.0,,0.0,,1.0,,,0.0,1.0
629,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1200,2018,,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,,1.0
635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1890,1920,0.0,1.0,,0.0,,0.0,1.0,1.0,0.0,0.0,,,,0.0,1.0
646,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1889,2018,0.0,0.0,1.0,1.0,,1.0,1.0,,0.0,,,0.0,1.0,0.0,1.0
649,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,700,2019,,1.0,,1.0,0.0,,1.0,0.0,,,,0.0,0.0,,0.0
650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1918,1945,0.0,0.0,,0.0,,,,1.0,0.0,,1.0,,0.0,0.0,1.0
654,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1198,1250,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,,,0.0,0.0,,1.0
669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1900,1925,,1.0,,0.0,,1.0,,0.0,,,,,,,0.0
676,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1198,1500,1.0,1.0,,1.0,,,,,1.0,,,,0.0,,1.0
679,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1915,1940,,1.0,0.0,0.0,,,,1.0,,,,,,,1.0
