bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,imputer_name,avg_f1
True,,sqrt,1,2,20,IterativeImputer_RandomForest,0.7066089490577286
True,,sqrt,1,2,50,IterativeImputer_RandomForest,0.7007322343677169
True,,sqrt,1,2,100,IterativeImputer_RandomForest,0.7244858934741849
True,,sqrt,1,2,200,IterativeImputer_RandomForest,0.70423656118275
True,,sqrt,1,5,20,IterativeImputer_RandomForest,0.7008020331729656
True,,sqrt,1,5,50,IterativeImputer_RandomForest,0.7168188882623475
True,,sqrt,1,5,100,IterativeImputer_RandomForest,0.72553266283034
True,,sqrt,1,5,200,IterativeImputer_RandomForest,0.7124950455990363
True,,sqrt,2,2,20,IterativeImputer_RandomForest,0.7089393721191686
True,,sqrt,2,2,50,IterativeImputer_RandomForest,0.7101353685728171
True,,sqrt,2,2,100,IterativeImputer_RandomForest,0.718980002031685
True,,sqrt,2,2,200,IterativeImputer_RandomForest,0.7301605883944867
True,,sqrt,2,5,20,IterativeImputer_RandomForest,0.7110729703342731
True,,sqrt,2,5,50,IterativeImputer_RandomForest,0.7237741913183702
True,,sqrt,2,5,100,IterativeImputer_RandomForest,0.7166191192730803
True,,sqrt,2,5,200,IterativeImputer_RandomForest,0.7186399804510756
True,,0.3,1,2,20,IterativeImputer_RandomForest,0.7075001921128133
True,,0.3,1,2,50,IterativeImputer_RandomForest,0.6997575262666912
True,,0.3,1,2,100,IterativeImputer_RandomForest,0.7115552267687513
True,,0.3,1,2,200,IterativeImputer_RandomForest,0.7135002431738137
True,,0.3,1,5,20,IterativeImputer_RandomForest,0.6976533717171862
True,,0.3,1,5,50,IterativeImputer_RandomForest,0.7178708087244673
True,,0.3,1,5,100,IterativeImputer_RandomForest,0.7211457570789039
True,,0.3,1,5,200,IterativeImputer_RandomForest,0.7219961203942166
True,,0.3,2,2,20,IterativeImputer_RandomForest,0.7006488680892089
True,,0.3,2,2,50,IterativeImputer_RandomForest,0.7039859846522726
True,,0.3,2,2,100,IterativeImputer_RandomForest,0.7176903751421985
True,,0.3,2,2,200,IterativeImputer_RandomForest,0.7190036087637888
True,,0.3,2,5,20,IterativeImputer_RandomForest,0.7110135846448471
True,,0.3,2,5,50,IterativeImputer_RandomForest,0.71199278737804
True,,0.3,2,5,100,IterativeImputer_RandomForest,0.7240701962769368
True,,0.3,2,5,200,IterativeImputer_RandomForest,0.717816772030791
True,3.0,sqrt,1,2,20,IterativeImputer_RandomForest,0.6563220684401089
True,3.0,sqrt,1,2,50,IterativeImputer_RandomForest,0.6649072720898944
True,3.0,sqrt,1,2,100,IterativeImputer_RandomForest,0.601250581333131
True,3.0,sqrt,1,2,200,IterativeImputer_RandomForest,0.5750667108384748
True,3.0,sqrt,1,5,20,IterativeImputer_RandomForest,0.6624648127384577
