Type,Percent,Iter,Method,var_x,var_y,corr_complete,corr_imputed
MAR,10,1,missForest,X4676,X4729,-0.13458643807329113,-0.14164394725179466
MAR,10,1,missForest,X4676,X4745,0.28750101650468146,0.27521897726429695
MAR,10,1,missForest,X4676,X4776,-0.13607275948655725,-0.13257883961936182
MAR,10,1,missForest,X4676,X4780,0.03227066473069483,0.029584746039701796
MAR,10,1,missForest,X4676,X4794,0.28726106556196107,0.2879180734988958
MAR,10,1,missForest,X4676,X4828,-0.05016493268689705,-0.04280177371671815
MAR,10,1,missForest,X4676,X4954,-0.07620521767690396,-0.08866641014929738
MAR,10,1,missForest,X4676,X5196,0.14065543365021957,0.12495757234174633
MAR,10,1,missForest,X4676,X5220,0.1580721727478751,0.15830696346146747
MAR,10,1,missForest,X4676,X5226,0.31866359788405507,0.3279395587148964
MAR,10,1,missForest,X4729,X4745,0.1877755227700502,0.20254068053782992
MAR,10,1,missForest,X4729,X4776,-0.039420938985009576,-0.029808940803714386
MAR,10,1,missForest,X4729,X4780,-0.07511823494614298,-0.06407473642167662
MAR,10,1,missForest,X4729,X4794,-0.019198646680501544,-0.021546208091629725
MAR,10,1,missForest,X4729,X4828,0.2593770060105025,0.25568960873581437
MAR,10,1,missForest,X4729,X4954,0.03339604365470998,0.07292062297098384
MAR,10,1,missForest,X4729,X5196,0.08442936399243549,0.07419667633053328
MAR,10,1,missForest,X4729,X5220,0.11297776096650695,0.1736000757527769
MAR,10,1,missForest,X4729,X5226,-0.14181228161804507,-0.10209039303623503
MAR,10,1,missForest,X4745,X4776,-0.04755867404892234,-0.034636317055688655
MAR,10,1,missForest,X4745,X4780,0.022871412401678868,0.060497738695335604
MAR,10,1,missForest,X4745,X4794,0.32942204912556916,0.3387829412413349
MAR,10,1,missForest,X4745,X4828,-0.03625601174099287,-0.019394121986970783
MAR,10,1,missForest,X4745,X4954,0.05991069443423865,0.06496311783492169
MAR,10,1,missForest,X4745,X5196,0.18851541041753805,0.1958615296937818
MAR,10,1,missForest,X4745,X5220,0.2053009022573063,0.18808652931839132
MAR,10,1,missForest,X4745,X5226,0.17814625364561698,0.20803029287289418
MAR,10,1,missForest,X4776,X4780,0.20718306749297075,0.2523928604474008
MAR,10,1,missForest,X4776,X4794,0.04744317966081159,0.057001430687376266
MAR,10,1,missForest,X4776,X4828,0.0268928604497047,0.06038839617891307
MAR,10,1,missForest,X4776,X4954,0.17110590491418556,0.1518475306981977
MAR,10,1,missForest,X4776,X5196,0.010769979595619854,0.04458370628284259
MAR,10,1,missForest,X4776,X5220,-0.035363841004637166,-0.0796924494771767
