Question,Method,Type,Percent,Iter,RMSE,Mean Percent Bias,Accuracy,Precision,Recall,F1 score,Matthews Correlation
X4654,mice,MAR,10,1,0.3450327796711771,7.142857142857142,0.8809523809523809,0.9736842105263158,0.9024390243902439,0.9367088607594938,-0.05066945919381399
X4676,mice,MAR,10,1,0.5883484054145521,11.538461538461538,0.6538461538461539,0.8421052631578947,0.7272727272727273,0.7804878048780488,-0.01848684666616339
X4729,mice,MAR,10,1,0.6030226891555273,12.121212121212121,0.6363636363636364,0.8181818181818182,0.6923076923076923,0.7500000000000001,0.10482848367219183
X4745,mice,MAR,10,1,0.5222329678670935,21.21212121212121,0.7272727272727273,0.9545454545454546,0.7241379310344828,0.823529411764706,0.32826608214930636
X4776,mice,MAR,10,1,0.3481553119113957,6.0606060606060606,0.8787878787878788,0.9666666666666667,0.90625,0.9354838709677419,-0.05590169943749474
X4780,mice,MAR,10,1,0.2970442628930023,2.941176470588235,0.9117647058823529,0.9393939393939394,0.96875,0.9538461538461539,-0.04351941398892446
X4794,mice,MAR,10,1,0.6030226891555273,6.0606060606060606,0.6363636363636364,0.7916666666666666,0.7307692307692307,0.76,0.015130688316720061
X4827,mice,MAR,10,1,0.3396831102433787,11.538461538461538,0.8846153846153846,1.0,0.8846153846153846,0.9387755102040816,
X4828,mice,MAR,10,1,0.5509731650193397,19.642857142857142,0.6964285714285714,0.918918918918919,0.7083333333333334,0.8000000000000002,0.24635801431775467
X4954,mice,MAR,10,1,0.5679618342470648,6.451612903225806,0.6774193548387096,0.84,0.7777777777777778,0.8076923076923077,-0.18856180831641267
X5132,mice,MAR,10,1,0.5,20.454545454545457,0.75,0.0,0.0,0.0,-0.08270396169735617
X5137,mice,MAR,10,1,0.3535533905932738,2.5,0.875,0.25,0.3333333333333333,0.28571428571428575,0.22147019900891646
X5196,mice,MAR,10,1,0.45883146774112354,5.263157894736842,0.7894736842105263,0.4,0.2857142857142857,0.3333333333333333,0.21667660273909742
X5220,mice,MAR,10,1,0.7276068751089989,17.647058823529413,0.47058823529411764,0.25,0.4,0.3076923076923077,-0.09128709291752769
X5226,mice,MAR,10,1,0.5927489783638191,2.7027027027027026,0.6486486486486487,0.7407407407407407,0.7692307692307693,0.7547169811320754,0.1367472804110513
X4654,mice,MAR,10,2,0.3849001794597505,14.814814814814813,0.8518518518518519,1.0,0.8518518518518519,0.92,
X4676,mice,MAR,10,2,0.48304589153964794,3.3333333333333335,0.7666666666666667,0.8421052631578947,0.8,0.8205128205128205,0.48911598804451845
X4729,mice,MAR,10,2,0.5940885257860046,11.76470588235294,0.6470588235294118,0.7241379310344828,0.84,0.7777777777777777,-0.06090001855940932
