"year_from","year_to","log_area","region_africa","region_central_eurasia","region_east_asia","region_europe","region_north_america","region_oceania_australia","region_south_america","region_south_asia","region_southeast_asia","region_southwest_asia","X4654","X4676","X4729","X4745","X4776","X4780","X4794","X4827","X4954","X5132","X5137","X5196","X5220","X5226"
50,160,12.1483326354496,"0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","1","1","1","1","0","0","0","0","0"
1948,2015,11.1017533174862,"0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","1","1","1","0","0","0","1","0"
1650,1850,14.641949401303,"0","0","1","0","0","0","0","1","1","0","1","1","1","1","1","1",NA,"1","1","0","0","1","0","0"
-1350,-1320,3.49695872375576,"1","0","0","0","0","0","0","0","0","0",NA,"1",NA,"1",NA,"1","1",NA,"1","0","0","0","1","1"
600,900,12.4437306875666,"0","0","0","0","1","0","0","0","0","0","1","1","1",NA,"1","1","1","1","0","1","0","0","0","1"
1980,2000,12.6187937503081,"0","0","0","0","0","0","0","1","0","0","1","0","1","1",NA,"1",NA,"1",NA,"0","0","1","0","1"
-3300,-539,13.7475511916506,"0","0","0","0","0","0","0","0","0","1",NA,"1","0","1","1","1","1","1","1","0","0","0","0","1"
2000,2015,11.2789977663411,"0","0","0","1","0","0","0","0","0","0","1","1","1","1",NA,"1","0","1","1","0","0","0","0",NA
-3500,2015,10.1800954866116,"0","0","0","0","0","1","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","0","0","1"
200,600,15.1523665666014,"0","1","1","0","0","0","0","0","1","0","1","1","1","0","1","1","0","1","0","0","0","0","0","0"
-330,-125,2.67136710514839,"0","0","0","0","0","0","0","0","0","1","1","1","1",NA,"1","1","1","1","1","0",NA,"0",NA,"1"
1500,1700,9.41708428858994,"0","0","0","0","0","0","0","1","0","0","1","1",NA,"1","1","1","1","1","1",NA,"0","0","0","1"
1469,1606,12.6187937503081,"0","0","0","0","0","0","0","1","0","0","1","0",NA,"1","1","1","1","1","1","0","0",NA,"1","1"
1200,1700,12.633804052535,"0","0","0","0","0","0","0","1","0","0","1","0","1","1","1",NA,"0","1","1","0","0","0","0","1"
1840,1970,11.7217860630226,"0","0","0","0","0","0","0","0","1","0","1","1","0",NA,"1","1","1","1","1","0","0","0","0","1"
1610,2016,11.4353173171071,"0","0","0","0","0","0","0","1","0","0","1","1","1","1","1",NA,"1","1","1","0","0","0","0","0"
1606,1708,12.7786779062624,"0","0","1","0","0","0","0","1","0","0","1","0",NA,"1","1","1","1","1","1","0","0","0","1","1"
1966,2016,14.9035702760581,"0","0","1","0","0","0","0","1","0","0","1","0","1","1","1",NA,"1","1","1","0","0","0",NA,"0"
1980,2015,6.24538323870241,"0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","1","1","0",NA,"0","0",NA
1970,2015,14.8921684484555,"0","0","1","0","0","0","0","1","0","0","1","1","1","1","1","1","1","1","1","0","0","0","0","1"
1800,1918,16.9148566260251,"0","1","1","1","0","0","0","1","0","1","1","1","1","0","1","1","0",NA,"1",NA,"0","0","0","1"
1970,2016,11.9457158516956,"0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","1","1","1","0","0","0",NA,"0"
1800,2017,12.1465897809904,"0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","0","0","0","0","0"
-1500,396,7.9188001643586,"0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","1","0","1","1","0","0","0","0","0"
-550,-330,15.5728641820326,"1","1","1","1","0","0","0","1","0","1","1","1",NA,NA,"1","1","1",NA,NA,NA,"0","0","1",NA
1690,2017,13.3904849090553,"0","0","1","0","0","0","0","1","1","0","1","0","1","1","1","1","1","1","1","0","0",NA,"0","0"
311,427,12.2469011870739,"1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","0","0","0","0","0"
