entry_id,entry_name,question_id,question_name,answer_predicted
173,Johannine Christianity,Q_2238,cultural contact accommodating,1
173,Johannine Christianity,Q_2908,Spirit-mind different powers than body,0
173,Johannine Christianity,Q_2928,Supernatural monitoring of prosocial norm adherence,1
173,Johannine Christianity,Q_2929,Grave goods,0
173,Johannine Christianity,Q_2964,Co-sacrifices in tomb/burial,0
173,Johannine Christianity,Q_2967,In cemetery (formal burials),1
173,Johannine Christianity,Q_2968,Previously human spirits present,0
173,Johannine Christianity,Q_3179,Instituionalized elder care (by group),0
173,Johannine Christianity,Q_2876,Special corpse treatment,0
173,Johannine Christianity,Q_2256,Violent conflict (within region),1
173,Johannine Christianity,Q_2271,Cultural contact competitive,1
173,Johannine Christianity,Q_2283,Iconography present,0
173,Johannine Christianity,Q_2300,Official political support,0
173,Johannine Christianity,Q_2324,Specific sacred sites,1
173,Johannine Christianity,Q_2349,System for assigning religious afffiliation,1
173,Johannine Christianity,Q_2351,Recognized religious leaders,1
173,Johannine Christianity,Q_2374,Proselytizing,1
173,Johannine Christianity,Q_2375,Are they oral? (Scriptures),1
173,Johannine Christianity,Q_3145,Food provided (by group),0
173,Johannine Christianity,Q_3147,Participate in military (by other),1
173,Johannine Christianity,Q_3163,Institutionalized elder care (by other),1
173,Johannine Christianity,Q_3130,Institutionalized police force (by other),1
173,Johannine Christianity,Q_2252,Conception of apostasy,1
174,Matthew-James-Didache Movement,Q_2283,Iconography present,0
174,Matthew-James-Didache Movement,Q_2914,Spatial location of afterlife,1
176,Qumran Movement,Q_3130,Institutionalized police force (by other),0
176,Qumran Movement,Q_3133,Institutionalized military (by other),1
176,Qumran Movement,Q_3154,Institutionalized judicial system (by other),1
176,Qumran Movement,Q_3022,Conventional vs. moral distinction,1
176,Qumran Movement,Q_3169,Public food storage (by group),1
176,Qumran Movement,Q_3128,Formal education (by other),1
176,Qumran Movement,Q_2967,In cemetery (formal burials),1
176,Qumran Movement,Q_3134,Transportation infrastructure (by group),1
176,Qumran Movement,Q_3167,Water management (by other),1
176,Qumran Movement,Q_2238,cultural contact accommodating,1
176,Qumran Movement,Q_2929,Grave goods,0
